genre,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
classic pop and rock,-7.816,101.82,1,2,1,322.42893,47.20486084,-6.046101942,52.06670227,14.31872977,-17.1677678,-15.11445712,25.81714806,-1.226105987,0.831491909,-2.550063107,1.092517799,-0.907953074,19.06072768,1834.25542,1555.37928,869.8230124,572.0816751,616.0531849,249.4740749,386.5172705,338.6639002,248.2007514,140.6110244,190.081734
classic pop and rock,-4.602,125.981,4,1,1,296.93342,46.15207457,59.09536868,-26.22160398,32.70763215,4.501468931,12.69419387,-13.25309611,19.62351616,13.89619967,17.56133554,1.056102734,0.809882353,17.425601,2330.777992,2866.749649,3988.097464,906.2669568,2708.679465,544.1157575,1139.936305,491.3342865,603.0160557,842.7694585,265.3463534
classic pop and rock,-2.617,122.769,4,1,1,191.9473,52.51084363,52.31659266,28.29840154,-2.519295367,-24.858361,-20.94243243,-5.034702703,-1.4861139,-4.12715251,1.995158301,1.118938224,-4.205903475,28.31656262,1066.757861,1367.511812,499.2003682,642.5407842,346.0910116,273.7894638,286.9804392,228.775716,158.8370559,168.4960318,268.5775512
classic pop and rock,-4.501,101.836,4,7,1,190.64118,51.17788753,44.06540491,29.65335583,-2.520764826,-21.99978937,-26.2664499,10.10425767,-7.346006135,10.94611861,2.08701636,-0.23398773,-5.514441718,45.51398262,1067.756248,1219.139682,284.3271437,557.9986001,432.6686904,483.2897541,299.7360992,202.5605928,202.795523,137.2231068,222.0627546
classic pop and rock,-4.043,145.718,5,10,1,243.53914,51.55684763,52.0883284,24.64123521,-0.645436391,-23.83573373,-27.32729142,3.069565089,1.830926036,-2.805454142,1.867301775,1.129559172,-6.115127219,13.61776853,1604.282522,1015.449712,631.9919079,499.4183087,414.3669251,365.6232247,373.4517185,159.3049542,170.376443,167.6565206,154.6520457
classic pop and rock,-6.551,152.007,4,3,1,202.37016,49.8288728,21.10691389,50.28422896,-2.559849315,-1.608780822,-23.55531115,6.374714286,2.127303327,4.55795499,1.505919765,-1.427970646,-0.289136986,10.84403567,1454.301806,2005.609868,531.7755029,686.9384182,288.5836854,372.0968631,451.9359475,243.5420205,219.1606157,102.2278752,178.637778
classic pop and rock,-7.185,137.866,4,7,1,210.6771,47.84048545,-4.343793262,41.0272389,3.452052067,-22.82966309,-19.05314395,11.90027565,-7.27529709,12.15001225,-1.289134763,1.097595712,-4.713952527,15.50295955,1307.38375,1591.660141,571.3181921,875.7918287,398.5698952,655.4279866,604.6260807,422.3163967,270.1511866,129.8675452,457.0849562
classic pop and rock,-7.335,118.176,4,0,1,190.35383,48.50632339,-15.55708477,34.15967504,-3.321634223,-27.06388069,-16.35757771,2.766868132,-2.236056515,0.437025118,-4.66655416,0.645500785,2.199483516,12.69353508,1189.060926,482.4042935,502.2310686,436.2563505,230.159423,294.392566,302.4805861,168.635253,167.0374145,104.6597364,143.3767524
classic pop and rock,-31.947,165.789,4,0,1,7.23546,21.27442857,-199.0670952,-198.2761429,-77.58747619,-4.137809524,-31.07528571,-77.27885714,2.45852381,-36.00828571,-4.366333333,5.627904762,6.215047619,5.095783769,352.893197,291.4386047,1911.749268,311.4586076,872.9059456,155.5579166,237.7134059,132.8656743,544.4048223,105.6027327,88.93563833
classic pop and rock,-5.866,125.037,4,11,1,113.8673,50.22294737,-63.19515789,90.368759,26.77886981,-28.08188366,-29.63812188,67.19028255,-2.656961219,-34.48477562,-20.46011634,4.243686981,-4.674423823,21.64528558,850.0988853,936.9273754,520.2710336,484.727281,274.0758034,401.0538163,334.7369167,198.0895098,294.1545685,124.5482041,131.0134813
